"goal_area","milestone","status","sub_milestone_or_feature_lane","high_level_work","current_evidence_or_state","related_commits_or_artifacts","last_updated"
"Active goal","All / strategy","active / incomplete","Full roadmap working strategy","Complete as much of the strategy as possible with mocks/smokes where possible; compile human tests for later.","Strategy status says full_objective_complete=false; current verdict strategy_active_wave0_human_gated.","plans/full-roadmap-working-strategy.md; captures/wave0-prelive-current/strategy-status/packet.json","2026-07-24T04:39:25.9907538Z"
"Current active slice","M2 / M3 / M7","in_progress","Local Companion workbench and reconstruction packet","Make the Docker Companion the source-aware alpha/dev/admin/test hub for milestone position, physical/headless/GCP lanes, redacted snapshots, and evidence reconstruction.","/workbench, /api/v0/companion/workbench, and redacted persistent snapshots are implemented; the .NET 9 container build passes; live image rebuild remains the next operator action.","plans/companion-workbench-reconstruction-strategy.md; Lumberjacks/src/Game.Companion/workbench-checklist.json; Companion launcher source metadata","2026-07-24T09:35:57Z"
"Current active slice","Wave 0","ready_waiting_on_human_join","Two-client apply/observe proof","Keep P7, OMEN, and i5 aligned; run bounded apply/observe and role reversal once both owned clients join.","Prelive is ready_for_derek_two_client_join; P7 peer_count=0; stop rule holds no exit artifact.","b6e2ecf Add Wave 0 prelive audit wrapper; 384fc90 Add Wave 0 live gate orchestrator; 303ea4a Add Wave 0 auto-wait live gate; captures/wave0-prelive-current/summary.json","2026-07-24T04:39:25.9907538Z"
"Current active slice","Wave 0","ready","Expected-result and human-test handoff","Make Derek-only work explicit and keep file transfer/deployment/log gathering agent-owned.","Return packet now includes remaining human tests H0-1 through H0-4 plus expected-result grid.","11341db Add remaining human test register; 2315fd2 Add Wave 0 expected result grid; 3249512 Show remaining human tests in Wave 0 packet","2026-07-23T21:33:46-07:00"
"Current active slice","Wave 0","ready","Evidence sidecars and seal/defect fallback","Write human visual observations as immutable sidecars; seal both directions or retain a named defect packet.","Fixture tests pass; defect packets are rejected if visual evidence is already sealed.","e0e62d0 Add Wave 0 visual observation annotator; f162d3e Add Wave 0 visual evidence seal verifier; c7a6831 Add Wave 0 defect packet generator; b18d69e Reject defect packet for sealed Wave 0 proof","2026-07-23T21:18:53-07:00"
"Current active slice","Wave 0","ready","Bounded commands and low-touch automation","Ensure live movement/capture/HTTP paths do not hang and do not require Derek as KVM.","Prelive includes bounded-command contract; i5 lane is up; movement/apply/capture/helper HTTP calls are bounded.","9206d01 Bound Wave 0 capture waits; f1037d6 Bound Companion movement HTTP calls; 5540ac3 Bound Wave 0 helper HTTP calls; tools/i5/Test-I5Link.ps1","2026-07-23T21:27:52-07:00"
"Current active slice","Wave 0","ready","Companion rollback/stop path","Prove rollback safety exists before live tests without mutating installed files.","Companion rollback contract passes and appears in return-packet non-human evidence.","ebd690b Prove Companion rollback contract in Wave 0; tools/wave0/Test-CompanionRollbackContract.ps1","2026-07-23T21:40:26-07:00"
"Current active slice","Wave 0","ready","Two-machine capture and i5 deploy lane","Collect OMEN+i5 evidence bundles and deploy to i5 without user copy/paste.","Bundle smoke collects two bundles; i5 SSH lane uses SHA256-verified deploys.","abef6f5 Honor i5 deploy excludes; 58fe80e Add i5 Docker recovery lane; tools/i5/Start-TwoClientCapture.ps1","2026-07-23T20:44:55-07:00"
"Current active slice","Wave 0 / M1 ops","recently_updated_by_other_agent","P7 world backup/save posture","Split dev/prod backup behavior to stop idle imported world zip churn while keeping production knobs.","Latest commit changes infra/gcp/p7 docker-compose and environment.example; user says another agent is continuing world-save work.","df5ee60 Split Valheim world backups into dev/prod postures","2026-07-23T21:43:13-07:00"
"Release foundation","M0","complete","Freeze known-good release and evidence","Reproducible Gateway/mod/deployment/world/evidence; rollback artifacts; immutable publication.","Roadmap marks M0 complete; release m0-clean-20260716-r2 closed with promotion drill and golden-proof publication.","Lumberjacks/docs/roadmap/m0-clean-build-candidate-r2.json; m0-a3-release-bundle-receipt.json; m0-a4-promotion-drill-receipt.json; m0-a5-publication-receipt.json","2026-07-16"
